task_id,project_id,project_domain,project_type,task_title,task_description,project_complexity,project_criticality,role_required,team_size_required,assigned_count,estimated_hours,deadline_days,priority,required_experience_years,required_skill_ids,required_skill_levels,critical_skill_ids,required_skill_count,critical_skill_count,task_start_date,task_due_date
TSK002920,PRJ01005,Insurance,Reporting,Refactor monthly management reporting for Insurance claims handling platform,"This task delivers monthly management reporting against the existing claims handling platform. A failure here is customer-visible, so pre-release verification is mandatory. The assignee is expected to demonstrate data mining, data visualisation software and apply statistical analysis techniques. The window is 56 days, with about 166 hours of effort expected from each assignee.",Moderate,High,BI Developer,7,8,166.0,56,High,6.58,25f0ea33-b4a2-4f31-b7b4-7d20e827b180|65e58886-bd1e-4c5b-8ca5-8d9b353c8aa1|382c11ed-20d5-4ae7-b60e-15fec527fa6c|48db96bf-3314-45c6-bad8-fdb6e20e5639|7ee4c2ea-b349-4bd2-81a3-ec31475d4833|1e77e42a-181f-4b48-8e74-201ce50ffc29|5da8018b-ae85-4cde-ad93-0394369018f3|33e584f9-ff7a-4979-bfc0-5a3a374a145a|bd14968e-e409-45af-b362-3495ed7b10e0|b497a163-daf4-4f1b-a6ba-8c640d803979,4|4|5|5|4|3|3|2|3|3,25f0ea33-b4a2-4f31-b7b4-7d20e827b180|65e58886-bd1e-4c5b-8ca5-8d9b353c8aa1|382c11ed-20d5-4ae7-b60e-15fec527fa6c|48db96bf-3314-45c6-bad8-fdb6e20e5639|7ee4c2ea-b349-4bd2-81a3-ec31475d4833,10,5,2024-12-12,2025-02-06
TSK002921,PRJ01006,Retail,Digital Transformation,Scale workflow modernisation wave for Retail point-of-sale estate,"This task delivers workflow modernisation wave against the existing point-of-sale estate. The work touches shared components and needs coordinated release planning. Delivery depends on proven ability in ICT market, execute feasibility study and information architecture. Estimated effort is 145 hours per assignee against a 35-day delivery window.",Moderate,Medium,Project Manager,8,7,144.8,35,Low,5.11,e5609f89-0daf-40bb-bd6b-94f5d7498131|d74df140-eb69-43e2-bac9-1cafc824d702|1bba98a7-92b9-450b-9235-e0c905f8f3c4|be80acfc-b6f2-4411-9b8d-b19d9cd2556a,2|2|3|3,be80acfc-b6f2-4411-9b8d-b19d9cd2556a,4,1,2025-02-19,2025-03-26
TSK002922,PRJ01006,Retail,Digital Transformation,Instrument digital channel consolidation for Retail loyalty platform,"Scope of this task is digital channel consolidation on the loyalty platform. A defect here degrades an internal service, so standard change control applies. Core competencies required are implement ICT security policies, collect customer feedback on applications and Process-based management. Effort is budgeted at 145 hours per person with a 42-day deadline.",Moderate,Medium,Business Analyst,7,7,144.9,42,Low,3.92,14d1e367-3efe-4ec5-86ae-eca48710ee4e|71746a0b-e58d-4dc4-ad03-bd84082eae21|d5a59ca8-2e91-472e-8571-d12ce4478679,2|3|3,71746a0b-e58d-4dc4-ad03-bd84082eae21,3,1,2025-02-23,2025-04-06
TSK002923,PRJ01006,Retail,Digital Transformation,Roll out legacy decommissioning wave for Retail pricing and promotions engine,"Scope of this task is legacy decommissioning wave on the pricing and promotions engine. Failure would create rework for downstream teams but not customer outage. Core competencies required are legal requirements of ICT products, perform risk analysis and object-oriented modelling. Estimated effort is 178 hours per assignee against a 45-day delivery window.",Moderate,Medium,Solution Architect,6,5,178.2,45,Medium,2.78,a846cb9e-c152-41e7-bd34-45e7ff941e3b|1dd23dba-dd00-45ab-abf4-642902538317|5be3d306-6cf1-4b49-aa1d-01651dd4ba4c|f7e2eb04-3e50-4561-bce1-7e51a1fec308|7a17d7ce-01a2-4746-bbcc-22ffe22fa16e,3|1|3|3|2,a846cb9e-c152-41e7-bd34-45e7ff941e3b|5be3d306-6cf1-4b49-aa1d-01651dd4ba4c,5,2,2025-02-04,2025-03-21
TSK002924,PRJ01006,Retail,Digital Transformation,Scale target operating model rollout for Retail pricing and promotions engine,"This workstream covers target operating model rollout within the pricing and promotions engine. The work touches shared components and needs coordinated release planning. Required capability includes ICT project management methodologies, review development process of an organisation and ICT market. The window is 44 days, with about 178 hours of effort expected from each assignee.",Moderate,Medium,Solution Architect,3,3,177.9,44,Medium,4.74,bec4359e-cb92-468f-a997-8fb28e32fba9|cb1b0777-0388-4b01-a0cf-7c6bbfbbd61d|e5609f89-0daf-40bb-bd6b-94f5d7498131|ed1d8bd4-cd2a-4c64-b665-56d70651026c|6a7792a9-888a-46ad-afc9-2c0d94c8fde6|c0326e27-5fa8-4dca-aecb-ed89ab491513,3|2|2|2|4|1,bec4359e-cb92-468f-a997-8fb28e32fba9|6a7792a9-888a-46ad-afc9-2c0d94c8fde6,6,2,2025-02-16,2025-04-01
TSK002925,PRJ01007,Energy,Infrastructure,Build network segmentation redesign for Energy trading and settlement stack,"The team is responsible for network segmentation redesign as part of the trading and settlement stack. The work touches shared components and needs coordinated release planning. Required capability includes administer ICT system, migrate existing data and resource description framework query language. Effort is budgeted at 86 hours per person with a 22-day deadline.",Moderate,Medium,Solution Architect,11,11,85.7,22,High,4.69,0868eef3-2213-4572-9343-74931345a7d3|020918ef-4b55-47c1-8430-ab7b8f6a7377|99207709-d076-4cce-ba38-e90d3bb28806|9190d87f-9792-42e0-bb7f-64294a656bcd|7adb8473-bcc6-4ff8-9850-76d945d40092|ec85cc63-4e24-4631-bf92-8789db2605c0|ab1e97ed-2319-4293-a8b7-072d2648822f|03b9b491-fc9b-4868-914a-bf7cd47b5041|993b1e23-f2de-4bd8-b33f-f86dde1c8e9d|a7f0fbe0-c546-4f30-8e41-34a58c64567e,3|2|3|2|3|2|2|2|2|2,0868eef3-2213-4572-9343-74931345a7d3|99207709-d076-4cce-ba38-e90d3bb28806|7adb8473-bcc6-4ff8-9850-76d945d40092,10,3,2022-09-20,2022-10-12
TSK002926,PRJ01008,SaaS,Enterprise Architecture,Automate architecture governance rollout for SaaS usage metering service,"Scope of this task is architecture governance rollout on the usage metering service. Downtime on this component breaches operational tolerances. Core competencies required are collect customer feedback on applications, apply ICT system usage policies and implement ICT security policies. Estimated effort is 274 hours per assignee against a 77-day delivery window.",Basic,High,Enterprise Architect,10,11,273.6,77,Urgent,3.85,71746a0b-e58d-4dc4-ad03-bd84082eae21|9707091a-323b-4240-877a-5999a19286f0|14d1e367-3efe-4ec5-86ae-eca48710ee4e|20c920d4-7ff7-4676-ba61-3f04490d9416|a47d194d-0ffd-4aaa-b695-fbbe0255000e|2857540c-180b-4208-9127-e94a01871966|5be3d306-6cf1-4b49-aa1d-01651dd4ba4c|e5609f89-0daf-40bb-bd6b-94f5d7498131|98301d4a-2cc3-439d-8d7f-0b6ac76302bb|c3a03c5a-c260-4c26-9b9a-873abb396f4d,4|4|3|1|4|5|5|3|3|3,71746a0b-e58d-4dc4-ad03-bd84082eae21|9707091a-323b-4240-877a-5999a19286f0|a47d194d-0ffd-4aaa-b695-fbbe0255000e|2857540c-180b-4208-9127-e94a01871966|5be3d306-6cf1-4b49-aa1d-01651dd4ba4c,10,5,2024-06-30,2024-09-15
TSK002927,PRJ01008,SaaS,Enterprise Architecture,Integrate capability-to-system mapping for SaaS usage metering service,"The team is responsible for capability-to-system mapping as part of the usage metering service. Downtime on this component breaches operational tolerances. The assignee is expected to demonstrate design information system, system design and perform resource planning. Estimated effort is 82 hours per assignee against a 28-day delivery window.",Basic,High,Project Manager,7,7,82.4,28,Medium,3.4,a47d194d-0ffd-4aaa-b695-fbbe0255000e|fae27053-8924-4bfd-b565-c9fe502044c9|f5dd06b8-5d17-4932-9d03-957d0c4f5051|84f58e3d-8669-4d83-8c1d-5dd1e73a654f,2|4|4|2,fae27053-8924-4bfd-b565-c9fe502044c9|f5dd06b8-5d17-4932-9d03-957d0c4f5051,4,2,2024-06-22,2024-07-20
TSK002928,PRJ01008,SaaS,Enterprise Architecture,Redesign integration reference architecture for SaaS multi-tenant platform,"This workstream covers integration reference architecture within the multi-tenant platform. The change affects a revenue-bearing path and needs senior review before cutover. The assignee is expected to demonstrate design process, collect customer feedback on applications and create flowchart diagram. Effort is budgeted at 114 hours per person with a 33-day deadline.",Basic,High,Enterprise Architect,5,6,114.3,33,High,3.91,2c28fc20-8a60-4311-8899-5ef8729c05b3|71746a0b-e58d-4dc4-ad03-bd84082eae21|901105f8-3a08-453e-b1dc-23619e317fd3|2857540c-180b-4208-9127-e94a01871966|d9e5349e-8791-49c2-8ba4-839fdd1606c2|9d2e926f-53d9-41f5-98f3-19dfaa687f3f|3bddfd7c-ab6d-40c2-883d-5e97fb7640ba|6f1edc19-191f-4ba5-a048-ee69aff05bab|797a4416-0b8d-44f3-8fcd-eb10bd0be6b4,4|2|4|2|4|4|2|4|3,2c28fc20-8a60-4311-8899-5ef8729c05b3|901105f8-3a08-453e-b1dc-23619e317fd3|d9e5349e-8791-49c2-8ba4-839fdd1606c2|9d2e926f-53d9-41f5-98f3-19dfaa687f3f|6f1edc19-191f-4ba5-a048-ee69aff05bab,9,5,2024-07-03,2024-08-05
TSK002929,PRJ01008,SaaS,Enterprise Architecture,Roll out application rationalisation for SaaS multi-tenant platform,"The team is responsible for application rationalisation as part of the multi-tenant platform. A failure here is customer-visible, so pre-release verification is mandatory. The assignee is expected to demonstrate apply company policies, develop financial statistics reports and analyse business requirements. Effort is budgeted at 75 hours per person with a 19-day deadline.",Basic,High,Enterprise Architect,7,7,74.8,19,Urgent,4.31,0a43729f-2a79-4dae-9faa-95520daae79f|4f060129-8b75-4d58-a8dd-515bd8fef349|b04f377b-ee80-4b38-aca1-19d266a23b17|694dc996-52f3-4afa-a802-672e19f061b7|ad59afe4-6f8a-4bc4-acfd-0f228277508a|75b30aeb-34c0-40f4-b77d-271d75a98b14|27ed854c-15b8-4ba2-90e9-ae888a219703|c7d24594-0c11-4b27-9039-fe0bb903da8e|f0de4973-0a70-4644-8fd4-3a97080476f4,4|2|4|4|4|4|3|5|3,0a43729f-2a79-4dae-9faa-95520daae79f|b04f377b-ee80-4b38-aca1-19d266a23b17|694dc996-52f3-4afa-a802-672e19f061b7|ad59afe4-6f8a-4bc4-acfd-0f228277508a|75b30aeb-34c0-40f4-b77d-271d75a98b14|c7d24594-0c11-4b27-9039-fe0bb903da8e,9,6,2024-05-31,2024-06-19
TSK002930,PRJ01009,Retail,Recommendation Systems,Build cold-start ranking logic for Retail loyalty platform,"Scope of this task is cold-start ranking logic on the loyalty platform. The change is low blast-radius and can be scheduled flexibly. Required capability includes perform scientific research, manage research data and information extraction. The window is 27 days, with about 162 hours of effort expected from each assignee.",Moderate,Low,Data Scientist,4,4,162.3,27,Medium,3.63,4fabca9a-7435-4f33-b1da-3cdb00340fdc|08b04e53-ed25-41a2-9f90-0b9cd939ba3d|696e3b5b-8b61-45af-ae4c-3ab700f197ec|2b1e2927-3542-48da-9063-02925e7562c1|1e77e42a-181f-4b48-8e74-201ce50ffc29|2daec0e6-f0c1-43e8-8178-aedba99130ec|25f0ea33-b4a2-4f31-b7b4-7d20e827b180|0da516ee-e70e-4384-be13-f5ff80be8127,2|2|1|2|3|3|1|1,2daec0e6-f0c1-43e8-8178-aedba99130ec,8,1,2025-04-22,2025-05-19
TSK002931,PRJ01009,Retail,Recommendation Systems,Re-platform content recommendation service for Retail loyalty platform,"The team is responsible for content recommendation service as part of the loyalty platform. Impact is contained and the change can be reversed without customer disruption. Delivery depends on proven ability in analyse software specifications, integrated development environment software and use an application-specific interface. Estimated effort is 118 hours per assignee against a 29-day delivery window.",Moderate,Low,ML Engineer,7,8,117.6,29,High,4.14,f28617ad-afdd-4041-814c-216153a38998|925463a7-d51f-4d5b-9f79-4d28cf30acde|04fe962b-4017-4eb7-9139-7d69b6922bc9|4fabca9a-7435-4f33-b1da-3cdb00340fdc|be48353d-25c7-4f86-bea9-7b9e248fbc6e|020918ef-4b55-47c1-8430-ab7b8f6a7377|cd5efa8c-e44d-4cbc-91c6-796018dbed68|e2e15494-65b9-4af5-8b86-53fb51e7e022,3|2|3|1|1|4|2|2,020918ef-4b55-47c1-8430-ab7b8f6a7377,8,1,2025-04-17,2025-05-16
TSK002932,PRJ01009,Retail,Recommendation Systems,Modernise cold-start ranking logic for Retail pricing and promotions engine,"The team is responsible for cold-start ranking logic as part of the pricing and promotions engine. Business impact is limited, so a standard change window applies. Required capability includes synthesise information, report analysis results and information extraction. The window is 18 days, with about 84 hours of effort expected from each assignee.",Moderate,Low,ML Engineer,5,6,84.0,18,Low,2.9,f715be1d-5fc4-49d3-82a5-0b8090d12849|c544a9f3-5945-4b54-afed-de0697852817|696e3b5b-8b61-45af-ae4c-3ab700f197ec|da930e2f-6047-4616-a598-bba8ecef3039|4d39b27a-b34f-4c89-8d46-df844d42f728|fa642fc3-5cc5-41cf-8926-6617a8b976a7|f6ac6241-adb2-4ce2-b35f-09832cbb11ea|e46291c7-52b9-4174-bd59-178884861038|034c29fa-c3ba-45ea-b8f3-bf8e3705e386|b4dc6e4f-dc7d-445f-8ce2-d7b9d225e282,1|2|2|2|3|2|2|3|2|2,4d39b27a-b34f-4c89-8d46-df844d42f728|e46291c7-52b9-4174-bd59-178884861038,10,2,2025-04-12,2025-04-30
TSK002933,PRJ01009,Retail,Recommendation Systems,Redesign search re-ranking model for Retail pricing and promotions engine,"Delivery of search re-ranking model for the pricing and promotions engine sits with this task. Impact is contained and the change can be reversed without customer disruption. Required capability includes perform data mining, define data quality criteria and use data processing techniques. Planned at roughly 191 hours of individual effort, due in 55 days.",Moderate,Low,Backend Developer,5,6,191.0,55,Low,3.47,4216e465-7baa-4884-a241-54b197bb9278|54c9c155-9293-4329-8ed2-2e76e8b519d4|1b70a55d-b8a4-49fc-96c6-15ab4cff2522|629685b8-5f9e-4522-8cff-b3e2c4ec625a|1b7c716e-af95-4cda-a42f-6479c8b139f5|1973c966-f236-40c9-b2d4-5d71a89019be|e46291c7-52b9-4174-bd59-178884861038|833289fa-3646-4010-9d9e-93ba8c9ef2d8|136e0cab-0b19-48f7-9086-745d615f416b,2|3|2|2|2|2|3|3|2,54c9c155-9293-4329-8ed2-2e76e8b519d4|833289fa-3646-4010-9d9e-93ba8c9ef2d8,9,2,2025-04-12,2025-06-06
TSK002934,PRJ01009,Retail,Recommendation Systems,Re-platform next-best-action engine for Retail inventory replenishment system,"Scope of this task is next-best-action engine on the inventory replenishment system. The change is low blast-radius and can be scheduled flexibly. The assignee is expected to demonstrate documentation types, information confidentiality and perform data mining. Planned at roughly 249 hours of individual effort, due in 49 days.",Moderate,Low,Data Engineer,6,7,249.0,49,Medium,3.3,327d15c8-29ff-4ad4-a4fe-6536d777a45f|a56dec32-05ef-45de-a256-ee6741f356db|4216e465-7baa-4884-a241-54b197bb9278|1605025e-a179-421f-8f35-5b07d182a6b2|c5e8abde-d2ba-4e8e-a65e-720b71180666|ce5b1446-b5e3-4f05-a5ac-83f2ee142a44,2|2|2|1|2|2,327d15c8-29ff-4ad4-a4fe-6536d777a45f,6,1,2025-03-26,2025-05-14
TSK002935,PRJ01010,Energy,Cybersecurity,Optimise penetration test remediation for Energy trading and settlement stack,"This task delivers penetration test remediation against the existing trading and settlement stack. Failure would create rework for downstream teams but not customer outage. The assignee is expected to demonstrate security engineering, cyber security and cyber attack counter-measures. Estimated effort is 139 hours per assignee against a 42-day delivery window.",Basic,Medium,Security Engineer,11,12,138.7,42,Medium,2.34,6f1edc19-191f-4ba5-a048-ee69aff05bab|8088750d-8388-4170-a76f-48354c469c44|5898d99a-62a4-4e10-a2e3-0d815ce44248|6eff134b-e34f-4d6e-a6e8-5e47cf2228d0|e8f80ec5-c423-4eb2-9f0f-805d22f844ae|501537a7-9d63-491d-ae02-09f04767ff1e|3ff589b7-68df-4ea5-ae41-b395bdb2378f|21fecc8a-392e-49ce-ac26-fb0696ccfead|df329d70-87b0-466b-a214-3431f36e2a5e,3|3|2|2|2|4|4|2|4,501537a7-9d63-491d-ae02-09f04767ff1e|3ff589b7-68df-4ea5-ae41-b395bdb2378f|df329d70-87b0-466b-a214-3431f36e2a5e,9,3,2022-07-13,2022-08-24
TSK002936,PRJ01010,Energy,Cybersecurity,Modernise SIEM detection coverage for Energy trading and settlement stack,"Delivery of SIEM detection coverage for the trading and settlement stack sits with this task. Failure would create rework for downstream teams but not customer outage. The assignee is expected to demonstrate resource description framework query language, tools for ICT test automation and N1QL. Estimated effort is 96 hours per assignee against a 28-day delivery window.",Basic,Medium,Systems Administrator,5,4,95.6,28,High,2.35,99207709-d076-4cce-ba38-e90d3bb28806|7557f0f4-b8bc-4ac0-b91e-222ab1ba744f|f597f772-24d3-4cec-813c-cf5a7027c794|1ce4cddd-4a74-458e-a2d4-152ca939475a,2|3|3|2,7557f0f4-b8bc-4ac0-b91e-222ab1ba744f,4,1,2022-07-26,2022-08-23
TSK002937,PRJ01010,Energy,Cybersecurity,Harden SIEM detection coverage for Energy asset performance platform,"This workstream covers SIEM detection coverage within the asset performance platform. The work touches shared components and needs coordinated release planning. Delivery depends on proven ability in ethical hacking principles, handle cybersecurity incidents and security threats. Planned at roughly 61 hours of individual effort, due in 18 days.",Basic,Medium,Security Analyst,6,6,60.9,18,Low,3.17,0ffdb6ac-03b5-4f1c-bfcc-3d9cb874fdf9|8181aa4c-42bc-4036-a3d2-5cb6bbb34239|5acf6408-e084-4202-9442-ffcf0119811c|fafe0b9d-dbd9-46bd-b770-26299539ce66,2|3|2|2,0ffdb6ac-03b5-4f1c-bfcc-3d9cb874fdf9|8181aa4c-42bc-4036-a3d2-5cb6bbb34239,4,2,2022-07-10,2022-07-28
TSK002938,PRJ01010,Energy,Cybersecurity,Roll out zero-trust access rollout for Energy asset performance platform,"This task delivers zero-trust access rollout against the existing asset performance platform. A defect here degrades an internal service, so standard change control applies. Core competencies required are handle cybersecurity incidents, ICT safety and cyber security. Planned at roughly 129 hours of individual effort, due in 38 days.",Basic,Medium,Compliance Specialist,6,7,129.0,38,Low,3.83,8181aa4c-42bc-4036-a3d2-5cb6bbb34239|426ceaba-6867-481c-bb6b-aee3933da7d2|8088750d-8388-4170-a76f-48354c469c44|6eff134b-e34f-4d6e-a6e8-5e47cf2228d0|f9a6f35b-01a7-40c9-8b61-b6ee46f97272|0e8d16c9-e2db-4862-ac06-1567f01ef806|1c2978b8-bb0d-4249-9c23-877571a4dffa|7814e88f-c133-4c3b-b27f-857afa145d42|b011c8b4-76e1-4bbc-8bb9-1d205e7b618a,1|2|3|2|2|3|2|2|1,8088750d-8388-4170-a76f-48354c469c44|0e8d16c9-e2db-4862-ac06-1567f01ef806,9,2,2022-07-08,2022-08-15
TSK002939,PRJ01010,Energy,Cybersecurity,Re-platform SIEM detection coverage for Energy asset performance platform,"This task delivers SIEM detection coverage against the existing asset performance platform. The work touches shared components and needs coordinated release planning. The assignee is expected to demonstrate provide ICT consulting advice, cyber attack counter-measures and attack vectors. Effort is budgeted at 46 hours per person with a 14-day deadline.",Basic,Medium,Security Analyst,2,3,46.3,14,Medium,3.29,283cbcd3-7101-4dbb-be37-56f3625515b1|5898d99a-62a4-4e10-a2e3-0d815ce44248|501537a7-9d63-491d-ae02-09f04767ff1e|d3286405-49f8-4e8a-8046-a4376b4e7963,1|2|3|3,d3286405-49f8-4e8a-8046-a4376b4e7963,4,1,2022-07-16,2022-07-30
TSK002940,PRJ01011,Media,Cloud Migration,Consolidate container platform migration for Media rights management system,"Scope of this task is container platform migration on the rights management system. Failure carries regulatory, financial or safety exposure and is escalated to executive level. Delivery depends on proven ability in cloud security and compliance, design cloud architecture and Java (computer programming). Planned at roughly 173 hours of individual effort, due in 43 days.",Advanced,Critical,Cloud Engineer,4,5,172.7,43,Urgent,8.62,1c2978b8-bb0d-4249-9c23-877571a4dffa|11430d93-c835-48ed-8e70-285fa69c9ae6|19a8293b-8e95-4de3-983f-77484079c389|f7e2eb04-3e50-4561-bce1-7e51a1fec308|251b5528-693c-4ef9-a7f6-9924bb8d7ef8|2857540c-180b-4208-9127-e94a01871966,5|5|5|4|4|5,1c2978b8-bb0d-4249-9c23-877571a4dffa|11430d93-c835-48ed-8e70-285fa69c9ae6|19a8293b-8e95-4de3-983f-77484079c389|2857540c-180b-4208-9127-e94a01871966,6,4,2025-06-06,2025-07-19
TSK002941,PRJ01011,Media,Cloud Migration,Rebuild hybrid connectivity redesign for Media ad delivery platform,"Scope of this task is hybrid connectivity redesign on the ad delivery platform. An outage here stops transaction processing, so rollback readiness is a gating condition. The assignee is expected to demonstrate Jenkins (tools for software configuration management), ICT system programming and automate cloud tasks. Estimated effort is 235 hours per assignee against a 59-day delivery window.",Advanced,Critical,Cloud Engineer,8,9,235.0,59,High,8.5,f47a1998-0beb-43be-9f46-380aa4d183da|b105ec9b-0857-41d6-8d07-a83e58b73d90|ce8ae6ca-61d8-4174-b457-641de96cbff4|56a7f561-1d55-43c9-9cd7-36a0a9bc6c50|013441c1-1f13-47e9-80c4-9a53e8e1bc05|04fe962b-4017-4eb7-9139-7d69b6922bc9|21d2f96d-35f7-4e3f-9745-c533d2dd6e97|414c9c90-3bff-474b-88d4-6d5fc4dbf3c8,5|5|5|5|5|5|3|3,f47a1998-0beb-43be-9f46-380aa4d183da|b105ec9b-0857-41d6-8d07-a83e58b73d90|ce8ae6ca-61d8-4174-b457-641de96cbff4|56a7f561-1d55-43c9-9cd7-36a0a9bc6c50|013441c1-1f13-47e9-80c4-9a53e8e1bc05|04fe962b-4017-4eb7-9139-7d69b6922bc9,8,6,2025-06-06,2025-08-04
TSK002942,PRJ01011,Media,Cloud Migration,Re-platform multi-region failover setup for Media rights management system,"Delivery of multi-region failover setup for the rights management system sits with this task. Failure carries regulatory, financial or safety exposure and is escalated to executive level. Core competencies required are cloud technologies, plan migration to cloud and deploy cloud resource. Estimated effort is 129 hours per assignee against a 45-day delivery window.",Advanced,Critical,Systems Administrator,6,6,129.2,45,Urgent,7.44,bd14968e-e409-45af-b362-3495ed7b10e0|0a52bed5-fd29-45fb-aba6-e32bccfda1c1|6195c5f7-a4fb-425d-a3dd-c4467c4471a3|4da4587a-fd0b-4ca2-886c-c42a1562d432|94b2c46e-6338-4a1d-950a-d44eef018c53|11430d93-c835-48ed-8e70-285fa69c9ae6|c453cf81-6197-428e-84c6-70c773b63f27,5|3|5|2|5|5|5,bd14968e-e409-45af-b362-3495ed7b10e0|6195c5f7-a4fb-425d-a3dd-c4467c4471a3|94b2c46e-6338-4a1d-950a-d44eef018c53|11430d93-c835-48ed-8e70-285fa69c9ae6|c453cf81-6197-428e-84c6-70c773b63f27,7,5,2025-05-19,2025-07-03
TSK002943,PRJ01011,Media,Cloud Migration,Harden container platform migration for Media rights management system,"This task delivers container platform migration against the existing rights management system. This sits on a business-critical path where an incident triggers a formal post-mortem. Core competencies required are deploy cloud resource, design database in the cloud and integrated development environment software. The window is 28 days, with about 106 hours of effort expected from each assignee.",Advanced,Critical,Cloud Engineer,7,6,105.7,28,Urgent,7.75,6195c5f7-a4fb-425d-a3dd-c4467c4471a3|7e796b51-49d7-4e73-95af-2e7323763f15|925463a7-d51f-4d5b-9f79-4d28cf30acde|38716afc-a93b-44ab-96cc-2ecf67edcf32|ce8ae6ca-61d8-4174-b457-641de96cbff4|dba46f87-0831-49cd-a1c7-340a653c0221|013441c1-1f13-47e9-80c4-9a53e8e1bc05|8efa6a7a-6556-4cb8-908d-59d3b5c58d2f|f12e0891-dbcf-4225-9574-a619f39ec0c3|3cdf3193-e070-40aa-a1b1-ab985db2c647,5|5|5|5|5|5|4|3|4|4,6195c5f7-a4fb-425d-a3dd-c4467c4471a3|7e796b51-49d7-4e73-95af-2e7323763f15|925463a7-d51f-4d5b-9f79-4d28cf30acde|38716afc-a93b-44ab-96cc-2ecf67edcf32|ce8ae6ca-61d8-4174-b457-641de96cbff4|dba46f87-0831-49cd-a1c7-340a653c0221,10,6,2025-06-02,2025-06-30
TSK002944,PRJ01012,Banking,API Development,Modernise public REST API layer for Banking loan origination system,"This task delivers public REST API layer against the existing loan origination system. Business impact is limited, so a standard change window applies. Required capability includes integrate system components and apply company policies. Effort is budgeted at 47 hours per person with a 12-day deadline.",Basic,Low,Backend Developer,4,3,47.1,12,Low,1.65,ed8de897-adbe-4f0e-b4d2-534953e64c72|0a43729f-2a79-4dae-9faa-95520daae79f,1|2,0a43729f-2a79-4dae-9faa-95520daae79f,2,1,2025-04-01,2025-04-13
TSK002945,PRJ01012,Banking,API Development,Build GraphQL service for Banking core banking platform,"This workstream covers GraphQL service within the core banking platform. Business impact is limited, so a standard change window applies. Required capability includes use software libraries, use software design patterns and tools for software configuration management. Effort is budgeted at 31 hours per person with a 8-day deadline.",Basic,Low,Solution Architect,6,6,30.6,8,High,1.52,8b94aa1e-89c9-459d-b3b4-1dfab8dec2df|2b7a79e5-84d8-4880-be66-3d9bb05bea17|9d2e926f-53d9-41f5-98f3-19dfaa687f3f|172020d1-e151-445b-8173-e2a5fb16fe51|901105f8-3a08-453e-b1dc-23619e317fd3|c3a03c5a-c260-4c26-9b9a-873abb396f4d|e6b8f934-7f35-4dc6-9a64-f6c43acdc00b|6e4f75b4-c60f-4623-a9ba-760c8245753b|2164e860-7f20-48bc-b98c-5d9f8a561550|bb663409-5c88-4e3a-bc16-01aa1c8ce171,2|3|2|1|1|2|2|2|2|1,8b94aa1e-89c9-459d-b3b4-1dfab8dec2df|2b7a79e5-84d8-4880-be66-3d9bb05bea17|9d2e926f-53d9-41f5-98f3-19dfaa687f3f,10,3,2025-04-09,2025-04-17
TSK002946,PRJ01012,Banking,API Development,Refactor partner API gateway for Banking loan origination system,"Delivery of partner API gateway for the loan origination system sits with this task. Business impact is limited, so a standard change window applies. Delivery depends on proven ability in define technical requirements, design process and tools for software configuration management. Estimated effort is 123 hours per assignee against a 29-day delivery window.",Basic,Low,Technical Lead,7,6,122.6,29,Low,1.91,d9e5349e-8791-49c2-8ba4-839fdd1606c2|2c28fc20-8a60-4311-8899-5ef8729c05b3|9d2e926f-53d9-41f5-98f3-19dfaa687f3f|dc72ad0a-c5dc-4abd-bc0d-ca43e82162e1|83b33952-3872-46ec-9a2e-b28f91303a7e|ccd0a1d9-afda-43d9-b901-96344886e14d|b633eb55-8f1f-4ae6-ab4c-2022ffe2cb7f|20c920d4-7ff7-4676-ba61-3f04490d9416,2|2|2|1|1|1|1|1,d9e5349e-8791-49c2-8ba4-839fdd1606c2|2c28fc20-8a60-4311-8899-5ef8729c05b3,8,2,2025-04-01,2025-04-30
TSK002947,PRJ01012,Banking,API Development,Implement webhook delivery service for Banking loan origination system,"The team is responsible for webhook delivery service as part of the loan origination system. The change is low blast-radius and can be scheduled flexibly. Required capability includes analyse network bandwidth requirements, ICT communications protocols and Prolog (computer programming). Effort is budgeted at 132 hours per person with a 26-day deadline.",Basic,Low,Integration Engineer,6,5,131.9,26,Medium,1.59,da042121-959d-451b-b4d0-3bbf07c1bc67|6e4f75b4-c60f-4623-a9ba-760c8245753b|2bde42ae-e776-41c1-9ded-b07b30bfe985,1|1|2,2bde42ae-e776-41c1-9ded-b07b30bfe985,3,1,2025-05-02,2025-05-28
TSK002948,PRJ01012,Banking,API Development,Migrate internal service contracts for Banking loan origination system,"This workstream covers internal service contracts within the loan origination system. Impact is contained and the change can be reversed without customer disruption. The assignee is expected to demonstrate design component interfaces, ICT communications protocols and use scripting programming. Effort is budgeted at 44 hours per person with a 8-day deadline.",Basic,Low,Backend Developer,7,7,44.4,8,Low,1.1,f6868852-9bf6-4899-a5d6-5f9532fb877d|6e4f75b4-c60f-4623-a9ba-760c8245753b|5ef0c719-5bcb-49f8-b8eb-824388225333|51586df8-1c46-4b47-8583-773cb63bf00b,1|1|1|2,51586df8-1c46-4b47-8583-773cb63bf00b,4,1,2025-04-11,2025-04-19
